par,xt4_file,iphone_file,dStart_s,confianza_previa
1,PAR-01_XT4_DSCF4304.MOV,PAR-01_IPHONE_C001.mov,4,ALTA
2,PAR-02_XT4_DSCF4305.MOV,PAR-02_IPHONE_C002.mov,29,MEDIA
3,PAR-03_XT4_DSCF4308.MOV,PAR-03_IPHONE_C003.mov,6,ALTA
4,PAR-04_XT4_DSCF4310.MOV,PAR-04_IPHONE_C005.mov,-6,ALTA
5,PAR-05_XT4_DSCF4311.MOV,PAR-05_IPHONE_C006.mov,-3,ALTA
6,PAR-06_XT4_DSCF4312.MOV,PAR-06_IPHONE_C009.mov,-6,ALTA
7,PAR-07_XT4_DSCF4313.MOV,PAR-07_IPHONE_C011.mov,69,CONFIRMADO
8,PAR-08_XT4_DSCF4314.MOV,PAR-08_IPHONE_C013.mov,-95,CONFIRMADO
9,PAR-09_XT4_DSCF4316.MOV,PAR-09_IPHONE_C014.mov,-52,CONFIRMADO
10,PAR-10_XT4_DSCF4317.MOV,PAR-10_IPHONE_C015.mov,-24,MEDIA
11,PAR-11_XT4_DSCF4318.MOV,PAR-11_IPHONE_C016.mov,3,ALTA
12,PAR-12_XT4_DSCF4319.MOV,PAR-12_IPHONE_C018.mov,25,MEDIA
13,PAR-13_XT4_DSCF4320.MOV,PAR-13_IPHONE_C021.mov,-9,ALTA
14,PAR-14_XT4_DSCF4324.MOV,PAR-14_IPHONE_C022.mov,-9,ALTA
15,PAR-15_XT4_DSCF4326.MOV,PAR-15_IPHONE_C027.mov,-5,ALTA
16,PAR-16_XT4_DSCF4329.MOV,PAR-16_IPHONE_C030.mov,40,MEDIA
17,PAR-17_XT4_DSCF4332.MOV,PAR-17_IPHONE_C031.mov,-15,ALTA
18,PAR-18_XT4_DSCF4333.MOV,PAR-18_IPHONE_C032.mov,-6,ALTA
19,PAR-19_XT4_DSCF4334.MOV,PAR-19_IPHONE_C034.mov,21,MEDIA
20,PAR-20_XT4_DSCF4335.MOV,PAR-20_IPHONE_C035.mov,15,ALTA
21,PAR-21_XT4_DSCF4337.MOV,PAR-21_IPHONE_C036.mov,32,MEDIA
22,PAR-22_XT4_DSCF4339.MOV,PAR-22_IPHONE_C038.mov,-12,ALTA
23,PAR-23_XT4_DSCF4340.MOV,PAR-23_IPHONE_C039.mov,14,ALTA
24,PAR-24_XT4_DSCF4341.MOV,PAR-24_IPHONE_C041.mov,-7,ALTA
25,PAR-25_XT4_DSCF4342.MOV,PAR-25_IPHONE_C042.mov,-4,ALTA
26,PAR-26_XT4_DSCF4343.MOV,PAR-26_IPHONE_C043.mov,-34,MEDIA
27,PAR-27_XT4_DSCF4345.MOV,PAR-27_IPHONE_C045.mov,37,MEDIA
28,PAR-28_XT4_DSCF4346.MOV,PAR-28_IPHONE_C046.mov,1,ALTA
29,PAR-29_XT4_DSCF4347.MOV,PAR-29_IPHONE_C047.mov,-44,MEDIA
30,PAR-30_XT4_DSCF4348.MOV,PAR-30_IPHONE_C048.mov,12,ALTA
31,PAR-31_XT4_DSCF4349.MOV,PAR-31_IPHONE_C051.mov,-34,MEDIA
32,PAR-32_XT4_DSCF4350.MOV,PAR-32_IPHONE_C052.mov,-76,CONFIRMADO
33,PAR-33_XT4_DSCF4352.MOV,PAR-33_IPHONE_C053.mov,-45,MEDIA
34,PAR-34_XT4_DSCF4353.MOV,PAR-34_IPHONE_C054.mov,-13,ALTA
35,PAR-35_XT4_DSCF4354.MOV,PAR-35_IPHONE_C055.mov,84,CONFIRMADO
36,PAR-36_XT4_DSCF4357.MOV,PAR-36_IPHONE_C058.mov,55,CONFIRMADO
37,PAR-37_XT4_DSCF4360.MOV,PAR-37_IPHONE_C059.mov,8,ALTA
38,PAR-38_XT4_DSCF4361.MOV,PAR-38_IPHONE_C060.mov,32,MEDIA
39,PAR-39_XT4_DSCF4362.MOV,PAR-39_IPHONE_C062.mov,39,MEDIA
40,PAR-40_XT4_DSCF4367.MOV,PAR-40_IPHONE_C066.mov,0,ALTA
41,PAR-41_XT4_DSCF4369.MOV,PAR-41_IPHONE_C067.mov,-28,MEDIA
42,PAR-42_XT4_DSCF4370.MOV,PAR-42_IPHONE_C068.mov,-40,MEDIA
43,PAR-43_XT4_DSCF4371.MOV,PAR-43_IPHONE_C069.mov,-6,ALTA
44,PAR-44_XT4_DSCF4372.MOV,PAR-44_IPHONE_C071.mov,-29,MEDIA
45,PAR-45_XT4_DSCF4374.MOV,PAR-45_IPHONE_C072.mov,7,ALTA
47,PAR-47_XT4_DSCF4377.MOV,PAR-47_IPHONE_C075.mov,-11,ALTA
48,PAR-48_XT4_DSCF4378.MOV,PAR-48_IPHONE_C076.mov,-44,MEDIA
49,PAR-49_XT4_DSCF4379.MOV,PAR-49_IPHONE_C077.mov,15,ALTA
50,PAR-50_XT4_DSCF4380.MOV,PAR-50_IPHONE_C078.mov,5,ALTA
51,PAR-51_XT4_DSCF4382.MOV,PAR-51_IPHONE_C079.mov,1,ALTA
52,PAR-52_XT4_DSCF4383.MOV,PAR-52_IPHONE_C080.mov,6,ALTA
53,PAR-53_XT4_DSCF4384.MOV,PAR-53_IPHONE_C081.mov,12,ALTA
